rfe_n_features,rfe_step,selected_features,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,rmse,mae,r2
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,2,0.1,1.0,0.8,0.11800419990048869,0.08962152587965172,-0.27070773038398066
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,2,0.1,1.0,1.0,0.11607903015605506,0.0878976489575757,-0.22958423019979612
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,3,0.03,0.8,0.8,0.10802461584998756,0.08193531740879031,-0.06486904827515572
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,3,0.03,0.8,1.0,0.10848104840580894,0.08214907203648353,-0.07388676563758856
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,3,0.03,1.0,0.8,0.10790555444314148,0.08236244553328835,-0.06252301007189298
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,3,0.03,1.0,1.0,0.10716662650415679,0.0818981763256085,-0.04802070390683233
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,3,0.1,0.8,0.8,0.11532245495304955,0.08728193260655638,-0.21360819577425172
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,3,0.1,0.8,1.0,0.11828718031665456,0.08942419230357418,-0.27680948871524835
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,3,0.1,1.0,0.8,0.11367313670582693,0.08586594951243304,-0.17914287471413837
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,3,0.1,1.0,1.0,0.11595553640728373,0.08811492370990302,-0.22696937042472154
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,5,0.03,0.8,0.8,0.11108030973795693,0.0831129374771212,-0.12596504145324694
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,5,0.03,0.8,1.0,0.11313399774397855,0.08492934033431082,-0.16798431421508253
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,5,0.03,1.0,0.8,0.11028197730954985,0.08258204407410422,-0.10983861476210444
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,5,0.03,1.0,1.0,0.11121090846149052,0.08264616305911751,-0.12861422458338612
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,5,0.1,0.8,0.8,0.11650836550606868,0.08667507640931918,-0.23869664680676173
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,5,0.1,0.8,1.0,0.11741694957066778,0.08716360534642846,-0.258091794069619
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,5,0.1,1.0,0.8,0.11472800531679966,0.08680883207588924,-0.2011289334247197
5,1.0,"['sma_5', 'sma_60', 'price_to_sma_60', 'volatility_20', 'atr_14']",500,5,0.1,1.0,1.0,0.11557240266112455,0.08666949962475712,-0.2188745996557353
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,2,0.03,0.8,0.8,0.10085011010026801,0.07512705242798501,0.07188135754999347
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,2,0.03,0.8,1.0,0.10054539768541998,0.07469945780176303,0.07748139164217016
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,2,0.03,1.0,0.8,0.1006283516327887,0.07505692590132725,0.07595853469251634
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,2,0.03,1.0,1.0,0.10035897909175458,0.07485926343086463,0.08089905567712641
5,0.1,"['sma_5', 'sma_60', 'macd_hist', 'volatility_20', 'atr_14']",100,2,0.1,0.8,0.8,0.10243941031600089,0.07694981738136777,0.04239835727975638
