n_features_to_select,rfe_step,selected_features,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,rmse,mae,r2
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,5,0.03,1.0,1.0,0.11150710145825558,0.08378476091809882,-0.1346340079951842
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,5,0.1,0.8,0.8,0.11511214138769099,0.08726135093110511,-0.20918571746875014
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,5,0.1,0.8,1.0,0.11483446215628931,0.087224915847045,-0.2033590378296799
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,5,0.1,1.0,0.8,0.11508350586257185,0.08630255707160574,-0.2085841934106636
5,0.1,"sma_5,sma_60,volatility_20,atr_14,volume_sma_20",500,5,0.1,1.0,1.0,0.11400218956678064,0.08633042691642148,-0.1859793520994053
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,2,0.03,0.8,0.8,0.10281496368505158,0.07667233682320657,0.03536415543918636
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,2,0.03,0.8,1.0,0.10269237998708898,0.07628246853682394,0.0376630063523834
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,2,0.03,1.0,0.8,0.10227638690829959,0.07608659104955884,0.04544381143875431
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,2,0.03,1.0,1.0,0.10250670432141634,0.07612847147183467,0.04113981789498067
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,2,0.1,0.8,0.8,0.10607741962076328,0.07915509567063533,-0.026825478755510446
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,2,0.1,0.8,1.0,0.10727376809994049,0.07982686035477621,-0.050117303277133374
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,2,0.1,1.0,0.8,0.10458750932118918,0.07723150426101712,0.001816505807852864
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,2,0.1,1.0,1.0,0.10452634800646962,0.07732867869724289,0.0029836119867032718
10,1.0,"return_20d,sma_5,sma_60,price_to_sma_60,macd,macd_signal,macd_hist,volatility_20,atr_14,volume_sma_20",100,3,0.03,0.8,0.8,0.10400527428927084,0.07735530079184948,0.012899276688743688
